topic,title,publishedAt,videoId,channelId,viewCount,likeCount,favoriteCount,commentCount,nextPageToken
Computer Science Lists,CS Principles: Introduction to Lists,2016-01-21T17:26:41Z,KFy7u3Rhozs,UCJyEBMU1xVP2be1-AoGS1BA,25528,159,0,0,CAIQAA
Computer Science Lists,Computer Science Major TIER LIST,2020-01-14T20:40:17Z,a939stt7qFE,UCNkvXjQnuVJ2y5oZX_quTJw,58116,885,0,154,CAIQAA
